
1,"Nike Air Force 1", "Classic sneaker with iconic style", "99.99", "0", "100", "true", 1
2,"Adidas Ultraboost", "High-performance running shoe", "149.99", "10", "50", "true", 2
3,"Vans Old Skool", "Skateboarding-inspired low-top shoe", "59.99", "0", "75", "true", 3
4,"Puma Suede Classic", "Timeless suede sneaker", "79.99", "5", "80", "false", 1
5,"Converse Chuck Taylor All Star", "Iconic canvas basketball shoe", "54.99", "0", "90", "false", 2
6,"New Balance 574", "Classic retro-style sneaker", "89.99", "0", "60", "true", 3
7,"Reebok Classic Leather", "Stylish and comfortable everyday shoe", "69.99", "0", "70", "false", 1
8,"Under Armour HOVR Phantom", "Innovative running shoe with UA HOVR™ technology", "129.99", "15", "40", "true", 2
9,"Asics Gel-Lyte III", "Premium lifestyle sneaker with GEL® technology cushioning", "119.99", "0", "65", "false", 3
10,"Saucony Jazz Original Vintage", "Retro-inspired sneaker with classic Saucony design", "79.99", "0", "55", "true", 1
