Nike Air Max Dn,The Nike Air Max Dn combines high-performance running technology with a stylish design offering the best of both worlds for athletes and fashion enthusiasts alike. Engineered for optimal comfort and support this cutting-edge running shoe boasts a sleek silhouette and innovative features that elevate your running experience to new heights.,99.99,13.7,8,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/2d234d2c-fb68-42df-8b4d-ce7e9b9dab02/air-max-dn-shoes-q51Wwn.png",true,1
Nike Air Max 97,The Nike Air Max 97 is a timeless classic that fuses retro style with modern performance. With its sleek silhouette and iconic full-length Air unit this shoe delivers exceptional cushioning and comfort with every step. Its lightweight construction and breathable upper make it perfect for all-day wear while its distinctive design adds a touch of urban flair to any outfit. Step out in style and experience the legendary comfort of the Air Max 97.,120.00,12,9,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/ue8xtawkyqcfaunnufcy/air-max-97-older-shoes-0nTgVwE9.png",false,1
Nike Air Max Pulse Roam,The Nike Air Max Pulse Roam is a versatile and stylish sneaker designed for the modern explorer. With its rugged yet sleek design this shoe is built to withstand the demands of urban adventures and outdoor escapades. Featuring Nike's signature Air Max cushioning technology the Pulse Roam delivers superior comfort and support making it ideal for all-day wear.,90.00,10,8,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/bf1f138b-3e53-44fb-9c67-1748df1630d4/air-max-pulse-roam-shoes-mSNwcc.png",true,1
Nike Dunk Low Retro,The Nike Dunk Low Retro is an iconic sneaker that pays homage to the brand's rich heritage in basketball culture. With its classic low-top silhouette and retro design elements this shoe exudes vintage charm and timeless style.,80,7,12,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/d01ef37b-c14a-4edd-8787-534f5732294c/dunk-low-retro-shoe-mhrtZC.png",false,1 
Nike Air Max Plus,The Nike Air Max Plus is a bold and dynamic sneaker that merges futuristic design with unparalleled comfort. Known for its distinctive Tuned Air cushioning technology this shoe provides responsive support and a plush feel with every step. Its unique gradient upper and iconic TPU overlays give it a striking visual appeal,90,13,10,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/zvggo9fhlalzrv9hc7j1/air-max-plus-older-shoes-VWK3gG.png",false,1
Nike Air Zoom Pegasus 40,The Nike Air Zoom Pegasus 40 is the latest iteration of Nike's legendary running shoe designed to provide runners with responsive cushioning and a smooth ride. With its lightweight construction and breathable upper the Pegasus 40 offers exceptional comfort and support for long-distance runs or everyday training sessions.,60.00,15,5,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/f73d8888-7d7c-44e7-aa3d-c51414a9b8a2/air-zoom-pegasus-40-older-road-running-shoes-G8QsFc.png",true,1
Nike Invincible 3,The Nike Invincible 3 is a revolutionary running shoe designed to provide maximum cushioning and energy return for an ultra-smooth ride. Engineered with Nike's innovative React foam technology this shoe delivers exceptional softness and responsiveness absorbing impact and delivering powerful propulsion with every step.,120.00,5,25,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/8745e412-5988-433d-a12a-9bf59e0a4fa4/invincible-3-road-running-shoes-0r1MPB.png",true,1
Nike Revolution, The Nike Revolution is a versatile and affordable running shoe designed for beginners and casual runners. With its lightweight construction and comfortable cushioning the Revolution offers a smooth and responsive ride for everyday training sessions.,50.00,10,30,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/26d05b2f-e8d3-47f3-89d4-5055f1f9d179/revolution-7-road-running-shoes-QNsPQ6.png",true,1 
Nike Vaporfly 3 Premium,The Nike Vaporfly 3 Premium is the pinnacle of performance running footwear engineered to help elite athletes achieve their fastest times on race day. Building upon the groundbreaking technology of its predecessors the Vaporfly 3 Premium features Nike's cutting-edge ZoomX foam in the midsole providing unparalleled energy return and cushioning.,140.00,7,14,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/a3973ff2-3669-47c5-9ee4-849ca4afd403/vaporfly-3-road-racing-shoes-JswDQX.png",false,1
Nike Pegasus 40,The Nike Pegasus 40 is the latest evolution of Nike's iconic running shoe series known for its versatile performance and comfortable ride. Engineered with a combination of React foam and Zoom Air cushioning the Pegasus 40 offers a responsive and cushioned feel with every step perfect for daily training runs or long-distance races.,100.00,13,12,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/f5d6915a-dc6f-43ed-9d1f-949ac0b84137/pegasus-40-road-running-shoes-3m8MgH.png",true,1 
